"time","BIRKENHEAD","BIRMINGHAM","BLACKPOOL","BOLTON","BOURNEMOUTH","BRADFORD","BRIGHTON","BRISTOL","CARDIFF","COVENTRY","DERBY","GATESHEAD","HUDDERSFIELD","HULL","IPSWICH","LEEDS","LEICESTER","LIVERPOOL","LONDON","MANCHESTER","MIDDLESBOROUGH","NEWCASTLE","NORWICH","NOTTINGHAM","OLDHAM","PLYMOUTH","PORTSMOUTH","PRESTON","READING","SALFORD","SHEFFIELD","SOUTHAMPTON","SOUTHEND","ST.HELENS","STOCKPORT","STOKE","SUNDERLAND","SWANSEA","WALSALL","WOLVERHAMPTON"
1944,2479,20425,1862,2548,1850,4117,2178,7135,4055,5087,2605,2050,1879,4710,1707,7674,4945,14397,42138,11251,2623,4786,2064,5246,1897,3630,3921,1902,2062,2913,8903,3231,1844,1976,2151,4966,3261,2312,1995,2819
1945,2758,21244,1896,2733,2002,4720,2520,7433,4481,4989,2583,2333,2022,6096,1999,8741,5228,16668,56036,12546,3024,5409,2320,5658,2001,4031,4502,2154,2121,3402,9247,3554,2480,2126,2405,5347,3708,2549,2197,2831
1946,3272,23890,2221,3316,2197,6003,2902,8746,5226,5485,2971,2733,2467,7643,2247,10606,5900,19538,70153,15197,3563,6380,2516,6718,2362,4420,5055,2526,2317,4120,10443,4037,3125,2513,2931,6204,4318,3194,2502,3246
1947,3190,22940,2179,3170,2055,5903,2734,8506,5068,5392,2874,2612,2386,7211,1999,10118,5725,18761,65982,14834,3489,6083,2289,6420,2383,4256,4870,2404,2214,3999,9860,3975,2844,2544,2758,5937,4097,3121,2424,3278
1948,2876,20776,1883,2771,1780,5168,2339,7575,4783,4879,2561,2340,2046,6353,1875,8731,5177,16967,58191,13309,3181,5495,2071,5739,2082,3869,4344,2174,1938,3665,8524,3516,2381,2147,2331,5256,3719,2760,2259,3007
1949,2730,19593,1768,2639,1670,5004,2215,7351,4624,4600,2373,2178,1953,6062,1920,8298,4900,16403,55068,12805,3105,5233,1945,5576,1913,3659,3908,2146,1812,3494,7703,3339,2269,2021,2223,4951,3532,2647,2136,2812
1950,2632,18695,1670,2520,1595,4859,2106,6964,4353,4395,2155,2155,1945,5733,1811,8121,4647,15885,52914,12441,3092,4932,1881,5267,1903,3570,3624,2024,1782,3202,7297,3130,2114,1929,2099,4474,3448,2502,2036,2763
1951,2603,18446,1597,2426,1522,4660,2068,6759,4340,4222,2086,2088,1888,5578,1762,7838,4563,15617,51908,12424,3072,4763,1879,5173,1871,3534,3713,1951,1754,3095,7095,2982,2071,1884,2081,4335,3555,2444,2024,2700
1952,2642,18564,1614,2408,1578,4574,2069,6891,4408,4200,2123,2016,1842,5667,1838,7891,4593,16056,51153,12379,3161,4862,1840,5239,1849,3565,3751,1953,1701,3043,7054,2888,2058,1934,2158,4535,3598,2454,2072,2585
1953,2632,18602,1613,2442,1598,4614,2045,6867,4490,4229,2125,2002,1832,5621,1944,7806,4538,15996,50956,12068,3116,4917,1833,5127,1800,3625,3749,1881,1674,2909,6994,2990,2044,1896,2132,4422,3540,2422,2028,2525
1954,2507,18054,1580,2295,1554,4590,2042,6589,4338,4225,2082,1922,1836,5460,1875,7561,4318,15436,50120,11776,3055,4777,1733,4922,1731,3545,3559,1822,1674,2759,6802,3271,1970,1835,2056,4213,3539,2365,1904,2362
1955,2448,18175,1662,2385,1547,4663,2014,6599,4292,4469,2136,1931,1837,5525,1838,7877,4284,15633,50923,11838,3193,4811,1763,5037,1788,3539,3408,1813,1731,2750,6876,3318,1949,1817,2188,4223,3641,2437,1961,2330
1956,2534,18804,1726,2453,1612,4905,2080,6833,4562,4796,2117,2008,1913,5530,1960,8278,4398,16076,52541,12234,3398,4980,1818,5340,1882,3579,3529,1899,1787,2929,7316,3436,2022,1898,2301,4268,3876,2582,1991,2306
1957,2604,19206,1702,2461,1645,5005,2169,7025,4639,5090,2097,2025,1989,5610,1987,8443,4457,15841,53392,12426,3636,5042,1766,5512,1856,3655,3535,1907,1896,2941,7603,3597,2130,1877,2292,4326,3952,2684,2067,2355
1958,2639,19324,1703,2483,1644,5011,2117,6817,4540,5305,2058,1987,2065,5672,1943,8340,4529,15564,54660,12273,3591,5132,1792,5603,1858,3654,3475,1919,1980,2880,7661,3539,2130,1873,2257,4295,3830,2723,2011,2426
1959,2645,20072,1804,2531,1690,5290,2135,6722,4667,5695,2038,1986,2161,5724,2040,8544,4537,15731,56181,12462,3472,5140,1874,5718,1933,3652,3592,2013,2021,2958,7760,3451,2143,1911,2324,4190,3825,2728,2077,2463
1960,2781,21361,1887,2695,1729,5531,2330,7017,4975,6179,2171,1987,2232,5907,2125,8929,4607,16416,58694,12908,3529,4948,1886,5805,2019,3705,3710,2020,2153,3047,8027,3573,2296,1928,2516,4246,3894,2768,2307,2683
1961,2869,22119,1937,2721,1783,5660,2351,7203,4956,6406,2317,2017,2391,5966,2103,9217,4903,16577,61366,13374,3501,4790,1864,6059,2053,3739,3816,2136,2215,3114,8462,3778,2356,1953,2644,4379,3869,2821,2301,2973
