"decimalYear","BIRKENHEAD","BIRMINGHAM","BLACKPOOL","BOLTON","BOURNEMOUTH","BRADFORD","BRIGHTON","BRISTOL","CARDIFF","COVENTRY","DERBY","GATESHEAD","HUDDERSFIELD","HULL","IPSWICH","LEEDS","LEICESTER","LIVERPOOL","LONDON","MANCHESTER","MIDDLESBOROUGH","NEWCASTLE","NORWICH","NOTTINGHAM","OLDHAM","PLYMOUTH","PORTSMOUTH","PRESTON","READING","SALFORD","SHEFFIELD","SOUTHAMPTON","SOUTHEND","ST.HELENS","STOCKPORT","STOKE","SUNDERLAND","SWANSEA","WALSALL","WOLVERHAMPTON"
1944,1,7,1,0,0,21,3,2,4,4,2,2,2,3,1,6,0,15,180,18,0,9,0,16,7,0,1,27,0,1,6,0,1,2,1,1,2,0,1,8
1944.038462,0,7,6,0,0,10,23,2,6,2,2,2,0,2,0,7,1,16,271,20,0,17,2,20,13,2,4,62,0,7,1,0,0,1,0,5,10,0,1,6
1944.076923,0,14,10,1,1,7,37,4,8,8,3,0,1,4,0,9,0,38,423,35,0,27,2,10,11,4,1,73,1,5,5,5,4,2,0,5,25,0,4,4
1944.115385,0,26,10,0,4,4,14,4,14,18,0,6,0,2,0,4,0,60,452,46,0,42,8,2,20,0,4,72,4,4,6,18,4,0,0,2,4,0,0,8
1944.153846,1,32,11,0,3,4,32,4,17,9,1,1,0,1,2,7,1,46,518,72,0,41,19,26,14,3,8,90,1,8,6,10,9,3,3,4,38,0,4,7
1944.192308,1,30,8,3,4,7,28,3,11,15,0,6,1,7,1,7,1,67,530,87,0,40,18,39,30,4,8,77,2,13,10,8,13,4,0,12,41,0,5,4
1944.230769,2,52,20,9,6,8,18,12,32,22,1,4,6,10,4,20,4,106,658,82,0,60,38,30,66,6,15,98,4,18,16,8,10,5,1,19,22,0,8,10
1944.269231,2,113,15,4,4,10,17,5,22,9,2,5,6,16,2,32,2,153,556,89,0,112,50,16,94,3,6,69,5,37,23,4,7,11,2,12,54,2,6,2
1944.307692,3,59,11,2,12,8,10,1,21,11,7,5,4,12,1,25,8,108,420,68,0,106,55,5,81,1,17,26,3,40,19,0,4,7,0,11,48,15,2,5
1944.346154,2,76,28,6,14,4,26,2,14,18,0,0,12,4,0,22,8,100,420,30,0,124,18,2,130,2,16,22,0,24,14,2,0,20,2,16,48,8,2,4
1944.384615,6,75,23,5,66,4,7,1,21,6,0,6,8,18,1,18,16,136,430,48,0,103,30,3,182,9,35,25,0,36,21,6,0,14,1,21,49,22,8,3
1944.423077,9,120,30,2,140,17,33,4,19,7,1,3,3,13,2,29,11,156,513,53,0,106,9,4,285,6,71,28,2,68,23,2,3,6,0,34,38,14,7,0
1944.461538,3,85,51,1,137,12,37,4,3,12,0,7,5,1,3,24,18,174,338,66,1,178,1,3,129,0,84,21,0,42,24,10,1,8,4,31,48,27,2,4
1944.5,3,61,94,6,71,8,27,3,9,16,0,4,4,8,6,24,13,234,260,142,0,118,4,4,56,2,78,38,1,37,27,20,4,11,2,34,45,28,8,4
1944.538462,3,72,106,1,78,6,23,3,2,8,3,4,3,1,2,10,11,207,163,157,0,125,0,2,21,0,136,19,0,50,21,10,0,17,3,40,28,21,9,2
1944.576923,13,60,93,4,44,2,21,6,3,2,2,7,2,3,1,12,16,158,83,190,17,118,1,7,10,2,74,15,2,29,21,2,0,13,1,30,14,4,5,5
1944.615385,8,66,42,2,30,2,22,2,0,6,4,10,10,2,0,6,8,126,78,156,0,110,0,12,20,2,28,8,0,14,38,2,0,16,2,26,6,8,2,4
1944.653846,9,38,26,0,19,1,6,0,1,4,3,3,2,3,1,5,2,134,48,115,2,95,1,2,4,0,22,16,0,18,25,1,0,15,1,17,7,4,2,6
1944.692308,17,32,25,3,7,7,5,7,1,5,1,19,8,2,0,2,6,139,43,150,10,91,0,13,5,1,21,7,1,22,17,0,5,25,4,10,10,4,6,0
1944.730769,21,98,39,4,6,16,2,13,2,6,1,43,16,2,0,2,2,264,56,288,14,162,0,10,6,1,22,9,0,68,28,3,6,74,13,36,6,6,18,0
1944.769231,58,171,98,6,2,15,2,53,0,47,0,43,65,3,1,10,1,429,82,439,69,164,1,27,14,1,29,18,0,76,28,1,5,179,14,159,12,12,31,1
1944.807692,77,224,121,23,0,23,2,80,6,138,1,58,97,16,0,40,2,447,145,722,100,156,0,76,7,2,15,46,0,229,70,1,6,188,12,271,12,22,20,5
1944.846154,136,332,186,42,8,42,2,126,6,544,2,86,152,48,0,74,4,588,114,820,138,116,2,174,12,0,28,24,4,268,82,2,28,336,44,424,16,28,16,0
1944.884615,141,362,185,102,5,58,0,125,4,692,2,90,190,31,1,56,10,683,175,794,200,109,0,175,12,3,38,34,0,203,99,1,19,306,61,512,17,36,35,3
1944.923077,188,574,177,314,8,113,0,169,29,646,3,139,238,27,0,80,45,844,207,920,261,134,1,390,24,2,63,63,2,303,153,6,13,331,152,409,23,33,21,6
1944.961538,192,870,108,386,3,107,6,151,47,507,3,237,287,45,2,116,56,643,277,999,322,138,0,532,15,8,74,134,0,199,256,0,18,203,107,343,29,22,40,10
1945,117,1560,82,413,2,154,6,260,133,376,5,267,191,125,2,238,82,488,404,924,358,150,2,566,36,11,62,70,1,103,318,6,39,164,232,369,28,35,47,10
1945.038462,57,1959,79,392,20,283,8,440,166,187,38,138,132,217,0,525,142,471,671,813,237,158,0,422,64,64,43,205,12,89,505,37,40,87,220,269,30,35,218,29
1945.076923,43,1848,61,158,32,516,9,454,380,118,127,97,116,500,2,1263,430,374,1387,761,188,183,1,296,84,108,86,159,9,91,870,83,118,81,272,287,29,63,335,57
1945.115385,18,1640,36,160,44,590,24,520,230,38,160,40,104,842,0,1388,590,368,1280,614,138,162,6,176,36,182,200,188,12,50,1108,96,118,60,248,270,50,116,222,124
1945.153846,12,1593,96,52,74,816,33,496,361,58,187,39,49,737,1,2001,1091,333,1963,602,66,185,4,90,28,344,221,77,7,75,1150,125,159,26,149,481,59,174,372,188
1945.192308,20,1478,57,42,73,880,33,586,335,50,261,39,35,826,0,1958,1398,311,2570,604,41,204,7,66,30,563,306,101,21,34,1155,279,136,9,75,556,154,312,221,373
1945.230769,11,881,57,20,131,618,48,364,266,50,396,30,20,498,2,1140,968,242,3294,384,37,288,4,64,29,481,223,74,19,44,894,313,116,10,60,410,313,334,127,440
1945.269231,14,555,59,13,79,261,225,213,205,44,372,23,11,123,9,489,318,220,2965,215,23,268,5,45,28,270,170,69,30,13,516,490,93,3,18,137,342,254,92,321
1945.307692,7,238,66,11,62,100,242,121,161,55,362,15,16,115,7,207,86,215,1873,166,14,172,4,30,15,144,82,31,98,3,344,216,102,2,12,93,299,173,60,147
1945.346154,6,186,34,10,30,92,326,62,128,50,334,10,10,56,8,148,52,176,1644,142,10,172,6,12,8,68,40,34,122,4,246,204,90,2,10,58,300,106,10,66
1945.384615,13,154,20,10,85,48,306,73,85,45,254,17,13,55,8,125,54,178,1433,128,11,177,8,16,4,106,27,53,358,8,153,213,66,7,6,28,243,74,11,121
1945.423077,16,72,8,12,68,29,190,61,68,34,127,14,5,22,13,46,33,146,980,79,19,125,27,9,1,61,23,21,263,6,99,87,47,7,3,29,156,66,12,79
1945.461538,9,62,19,12,45,14,113,33,27,32,63,21,12,16,11,18,17,93,754,66,30,87,66,2,9,53,16,40,192,9,51,59,20,5,4,15,114,39,3,34
1945.5,6,30,18,9,36,10,66,24,21,18,42,6,15,4,14,14,19,87,451,44,12,74,92,2,14,24,9,28,110,8,26,25,15,4,4,13,55,24,4,23
1945.538462,1,14,14,9,16,11,41,22,11,11,11,4,4,6,19,13,5,58,282,43,5,54,114,4,23,18,6,15,60,17,18,10,5,6,2,7,33,5,3,14
1945.576923,1,11,6,1,12,2,6,9,21,6,5,11,6,4,19,8,7,23,174,25,4,29,79,2,19,11,2,13,22,5,12,9,8,1,2,9,33,5,4,2
1945.615385,0,20,0,12,8,4,2,4,12,16,4,2,10,4,14,2,4,18,132,10,0,14,76,2,12,0,6,4,24,4,6,8,4,0,0,2,14,2,0,10
1945.653846,0,10,0,2,3,4,3,12,10,9,9,7,2,2,14,3,4,75,109,18,1,25,55,1,7,3,5,5,7,4,9,4,3,2,0,5,6,1,1,4
1945.692308,0,17,1,1,1,0,0,3,7,1,3,2,1,3,10,5,1,23,82,12,1,16,17,2,3,2,2,4,4,1,3,2,3,1,2,4,5,3,2,5
1945.730769,2,4,0,0,2,3,0,3,4,2,3,8,1,1,5,5,1,45,80,14,4,7,18,1,2,0,3,0,1,2,6,0,0,6,2,8,6,1,1,2
1945.769231,1,10,1,0,1,2,0,0,1,4,2,5,2,1,7,4,2,42,88,19,1,4,12,2,2,0,0,0,2,1,1,0,5,6,1,8,7,2,1,1
1945.807692,1,6,0,0,0,2,0,5,0,6,0,6,1,0,8,2,0,54,79,16,0,2,24,4,0,5,2,3,0,0,3,0,10,10,1,3,2,1,1,0
1945.846154,0,14,0,0,4,4,0,4,0,2,0,6,0,0,6,4,2,44,46,12,0,4,54,8,2,12,2,0,0,2,4,0,4,12,0,0,0,2,2,2
1945.884615,1,12,6,0,0,1,0,1,1,1,0,6,0,2,30,5,1,42,77,8,0,5,93,3,0,1,1,3,3,0,4,1,1,5,0,1,4,2,0,1
1945.923077,1,10,3,1,1,3,0,2,0,0,3,2,1,6,39,1,1,54,76,22,0,1,142,3,0,2,1,3,1,5,2,0,2,9,0,0,2,4,1,0
1945.961538,1,14,2,2,1,1,0,9,1,1,1,3,0,1,102,3,1,92,94,7,0,1,170,1,2,1,4,0,0,0,2,0,2,11,0,6,8,0,4,0
1946,1,16,2,1,1,2,2,4,1,3,0,3,0,1,104,8,2,101,162,6,0,3,162,0,2,3,0,4,0,1,5,0,0,8,0,1,4,2,3,2
1946.038462,1,19,0,1,1,0,2,2,1,13,0,2,0,0,147,3,2,124,209,10,0,2,83,3,0,1,4,0,1,1,3,0,0,10,0,2,12,2,5,0
