"time","BIRKENHEAD","BIRMINGHAM","BLACKPOOL","BOLTON","BOURNEMOUTH","BRADFORD","BRIGHTON","BRISTOL","CARDIFF","COVENTRY","DERBY","GATESHEAD","HUDDERSFIELD","HULL","IPSWICH","LEEDS","LEICESTER","LIVERPOOL","LONDON","MANCHESTER","MIDDLESBOROUGH","NEWCASTLE","NORWICH","NOTTINGHAM","OLDHAM","PLYMOUTH","PORTSMOUTH","PRESTON","READING","SALFORD","SHEFFIELD","SOUTHAMPTON","SOUTHEND","ST.HELENS","STOCKPORT","STOKE","SUNDERLAND","SWANSEA","WALSALL","WOLVERHAMPTON"
1944,118626,992574,146026,153709,123118,261403,122444,405988,215072,221915,132572,104272,115803,229421,87126,450245,257045,665486,2453642,613733,126705,262501,101424,261906,111992,144809,156278,108033,111143,155516,473569,129338,89543,98294,128785,250133,161288,137911,102747,146987
1945,121836,1002601,143741,153868,126803,262945,132441,414383,217525,222127,132612,105686,115647,246395,89063,452149,257161,682037,2610731,624316,128791,266315,103699,265401,111419,157957,179803,108574,108852,157508,476761,142654,108535,99239,129432,251637,165523,140110,102642,146899
1946,131564,1045307,150186,161230,134898,279243,146142,417189,224575,233053,137869,112277,121668,278546,97121,482033,269493,735463,3115679,669175,137828,283946,112505,283414,116327,176308,204822,114148,111392,169641,500755,160014,135257,104837,137767,265004,175915,149060,107344,152253
1947,135679,1072476,152105,164448,135862,283263,151167,425797,231249,241968,138933,112920,125550,284712,99914,495453,274372,765817,3246308,677861,139340,287668,115241,290507,119336,183116,210892,116170,113348,174267,510304,170180,144494,108242,138516,269667,176428,152681,109949,155968
1948,140356,1096415,151459,167031,137146,288587,154428,435133,240723,250523,141841,115123,127420,294318,102143,501971,280386,792142,3340511,693243,143469,293679,118041,296991,120613,188971,216215,118163,114516,178153,514417,178897,148324,110137,140935,273645,180673,158077,112632,159183
1949,141487,1107038,149293,167819,138867,291668,155092,439814,243327,254453,142741,114911,128328,296483,103820,505006,283482,800921,3375914,699712,145058,294544,119011,300751,120584,191063,218520,119529,115215,178887,513718,180342,148646,112135,141471,274526,181296,160136,113419,160030
1950,143151,1117892,149563,168584,139596,294273,157803,442604,244596,256829,143400,115498,129594,302111,104131,509658,287522,802065,3389306,704468,145516,294772,119714,307052,119485,209302,240335,120274,115766,177674,514950,180767,152435,112459,142099,275776,178050,161693,114502,162121
1951,141785,1110896,146275,166676,138888,289723,155570,441662,243466,258141,140039,114691,127971,298053,104025,502962,284670,784662,3357721,699916,146617,291637,120233,306611,119461,219122,244348,118088,115094,176795,509957,177238,151474,109366,140684,272551,177666,159981,113793,161998
1952,142103,1119112,147311,166493,138912,287978,156177,443930,244837,261052,138703,114588,127396,299429,106399,504847,285930,790116,3362960,705439,147212,289794,120306,309754,119791,218628,242629,119217,115832,176372,510898,175480,151518,109087,140878,272324,180444,160412,114316,162298
1953,141696,1118472,146698,165588,139924,286584,157214,444211,246633,263030,139412,113489,127202,299401,107514,505518,286512,789636,3342531,701719,147908,289679,120912,311510,119106,221384,245824,118888,117727,173847,507507,177238,152830,108218,141002,273719,181558,160712,114906,161268
1954,141902,1117622,147509,165499,141118,286502,157915,444885,248013,264635,139601,113613,127505,300002,108317,507220,287302,786006,3321548,698915,148105,286404,121250,311502,120360,217459,243524,118385,118300,171456,503341,188154,154217,110951,141202,274102,181802,161505,114895,158936
1955,141694,1111639,147066,164980,141812,286396,158605,442446,248416,267382,139279,113180,127600,299600,109218,507410,286263,779770,3294495,692059,148720,280901,120991,312013,120387,217990,238567,117386,118094,169262,501058,194967,154814,111889,141095,273989,182010,161299,114598,155344
1956,141605,1110733,146487,163781,142620,286407,158709,440479,249829,272705,137458,111876,127599,300211,110327,508625,283952,773598,3272653,686111,149922,277052,120280,312504,119483,216201,230984,116991,117902,167361,498973,196404,155820,110889,140901,272975,182818,161711,114703,153048
1957,142111,1102815,145578,162876,143507,287012,159512,439575,251337,277373,135467,110883,127606,300507,111932,509820,281135,768592,3253405,681910,151025,275053,119184,312605,118790,217907,226822,116180,118098,165265,498503,197036,156823,110898,141206,271782,183822,162316,114802,149845
