"time" "cases1" "cases2" "cases3"
"1" 1 216 44 9
"2" 2 454 66 41
"3" 3 706 97 53
"4" 4 1080 148 60
"5" 5 1089 157 41
"6" 6 1208 155 53
"7" 7 1348 174 54
"8" 8 1454 193 69
"9" 9 1693 262 73
"10" 10 2315 332 79
"11" 11 2546 381 104
"12" 12 2454 397 165
"13" 13 2216 371 129
"14" 14 2009 369 117
"15" 15 1706 289 109
"16" 16 1479 237 72
"17" 17 1474 265 85
"18" 18 1139 208 72
"19" 19 1165 208 74
"20" 20 981 211 71
"21" 21 734 151 85
"22" 22 731 140 63
"23" 23 550 88 33
"24" 24 549 99 47
"25" 25 445 112 40
"26" 26 427 81 47
"27" 27 317 68 28
"28" 28 260 73 22
"29" 29 210 47 10
"30" 30 165 49 25
"31" 31 150 56 17
"32" 32 164 46 18
"33" 33 123 50 38
"34" 34 138 45 17
"35" 35 133 46 17
"36" 36 127 60 15
"37" 37 119 36 10
"38" 38 122 41 13
"39" 39 148 40 16
"40" 40 155 56 20
"41" 41 150 42 26
"42" 42 142 63 29
"43" 43 157 62 18
"44" 44 151 57 28
"45" 45 185 66 16
"46" 46 240 79 63
"47" 47 291 70 29
"48" 48 402 89 39
"49" 49 478 78 37
"50" 50 523 105 56
"51" 51 596 105 37
"52" 52 389 46 27
"53" 53 668 69 50
"54" 54 900 122 54
"55" 55 1152 208 169
"56" 56 1645 243 129
"57" 57 1802 286 70
"58" 58 1722 271 88
"59" 59 1821 255 70
"60" 60 1963 329 99
"61" 61 1985 310 114
"62" 62 1973 335 122
"63" 63 2028 353 165
"64" 64 1961 347 143
"65" 65 1550 282 110
"66" 66 1531 259 123
"67" 67 1671 319 165
"68" 68 1960 370 145
"69" 69 1893 472 225
"70" 70 1523 335 194
"71" 71 1173 251 113
"72" 72 1114 267 110
"73" 73 645 187 59
"74" 74 565 152 61
"75" 75 497 127 66
"76" 76 390 146 50
"77" 77 285 102 53
"78" 78 219 90 43
"79" 79 174 82 66
"80" 80 156 97 107
"81" 81 136 87 168
"82" 82 119 95 211
"83" 83 113 108 40
"84" 84 101 91 52
"85" 85 123 86 41
"86" 86 105 95 35
"87" 87 117 112 34
"88" 88 92 82 24
"89" 89 126 103 43
"90" 90 138 90 37
"91" 91 147 83 33
"92" 92 133 69 29
"93" 93 158 80 29
"94" 94 174 73 39
"95" 95 204 93 46
"96" 96 183 89 31
"97" 97 200 95 52
"98" 98 203 94 38
"99" 99 262 80 76
"100" 100 298 95 55
"101" 101 274 79 42
"102" 102 316 62 43
"103" 103 419 76 33
"104" 104 266 53 36
"105" 105 454 51 30
"106" 106 623 94 57
"107" 107 815 123 70
"108" 108 1214 184 67
"109" 109 1509 185 77
"110" 110 1528 212 96
"111" 111 1599 243 129
"112" 112 1798 268 137
"113" 113 2020 292 174
"114" 114 2089 368 167
"115" 115 1995 321 182
"116" 116 1848 339 192
"117" 117 1930 330 207
"118" 118 1980 358 282
"119" 119 1798 376 165
"120" 120 1584 304 198
"121" 121 1479 247 220
"122" 122 1277 257 198
"123" 123 1229 281 125
"124" 124 882 240 130
"125" 125 658 188 82
"126" 126 457 122 46
"127" 127 369 134 39
"128" 128 214 65 27
"129" 129 179 62 39
"130" 130 143 58 16
"131" 131 122 62 21
"132" 132 72 57 19
"133" 133 101 49 20
"134" 134 80 35 21
"135" 135 65 34 20
"136" 136 54 23 14
"137" 137 54 27 11
"138" 138 58 34 11
"139" 139 78 43 23
"140" 140 80 35 16
"141" 141 81 30 14
"142" 142 93 37 16
"143" 143 73 25 20
"144" 144 86 31 8
"145" 145 95 31 11
"146" 146 139 47 15
"147" 147 140 41 30
"148" 148 138 49 33
"149" 149 208 41 25
"150" 150 210 47 19
"151" 151 292 53 24
"152" 152 321 67 30
"153" 153 307 69 31
"154" 154 307 62 39
"155" 155 404 80 31
"156" 156 232 47 20
"157" 157 280 47 18
"158" 158 401 59 36
"159" 159 592 86 41
"160" 160 697 121 65
"161" 161 780 125 87
"162" 162 887 139 107
"163" 163 886 159 121
"164" 164 1010 166 86
"165" 165 1087 201 117
"166" 166 1351 242 170
"167" 167 1605 321 179
"168" 168 1642 299 179
"169" 169 1646 264 189
"170" 170 1510 313 254
"171" 171 1234 230 169
"172" 172 1219 240 128
"173" 173 1278 257 173
"174" 174 1151 258 178
"175" 175 1018 211 149
"176" 176 791 209 123
"177" 177 565 152 117
"178" 178 538 133 64
"179" 179 457 79 40
"180" 180 416 96 63
"181" 181 315 97 105
"182" 182 264 57 27
"183" 183 171 49 29
"184" 184 156 58 13
"185" 185 174 53 13
"186" 186 121 45 13
"187" 187 98 41 14
"188" 188 54 30 14
"189" 189 54 34 8
"190" 190 69 32 7
"191" 191 67 38 14
"192" 192 66 39 9
"193" 193 91 45 15
"194" 194 99 102 30
"195" 195 136 67 25
"196" 196 119 53 17
"197" 197 133 49 23
"198" 198 118 41 23
"199" 199 122 65 27
"200" 200 151 58 23
"201" 201 140 62 17
"202" 202 170 59 33
"203" 203 193 62 46
"204" 204 202 63 13
"205" 205 265 75 44
"206" 206 316 68 46
"207" 207 391 76 38
"208" 208 526 86 33
"209" 209 559 120 56
"210" 210 793 126 81
"211" 211 1041 151 94
"212" 212 1223 212 117
"213" 213 1532 220 109
"214" 214 1841 267 114
"215" 215 2103 289 186
"216" 216 2273 391 150
"217" 217 2428 371 223
"218" 218 2597 408 200
"219" 219 2604 459 201
"220" 220 2242 369 159
"221" 221 1990 302 158
"222" 222 1751 385 260
"223" 223 1965 379 196
"224" 224 1944 391 237
"225" 225 1678 368 172
"226" 226 1296 263 106
"227" 227 1070 308 142
"228" 228 846 230 112
"229" 229 831 213 90
"230" 230 768 166 82
"231" 231 524 165 76
"232" 232 474 157 92
"233" 233 416 122 63
"234" 234 327 104 45
"235" 235 189 68 32
"236" 236 152 68 48
"237" 237 132 52 50
"238" 238 115 62 44
"239" 239 90 52 39
"240" 240 76 54 39
"241" 241 100 49 18
"242" 242 77 68 35
"243" 243 116 62 40
"244" 244 95 51 13
