"time" "cases1" "cases2" "cases3"
"1" 1 2882 628 174
"2" 2 7032 851 468
"3" 3 11416 1410 800
"4" 4 17811 2237 1216
"5" 5 17805 2644 774
"6" 6 20446 2435 926
"7" 7 22028 2697 932
"8" 8 22677 2923 1317
"9" 9 25356 3754 1248
"10" 10 33056 4609 1298
"11" 11 37888 4920 1681
"12" 12 36126 5274 3261
"13" 13 33254 5335 2226
"14" 14 29879 5289 1749
"15" 15 26360 3951 1833
"16" 16 22448 3496 1098
"17" 17 23807 4147 1311
"18" 18 18319 3218 1333
"19" 19 19428 3128 1325
"20" 20 16354 3126 1202
"21" 21 12086 2504 1635
"22" 22 12807 2140 1123
"23" 23 8742 1219 588
"24" 24 9259 1565 644
"25" 25 7649 1759 588
"26" 26 7051 1380 913
"27" 27 5735 1347 525
"28" 28 4535 1121 277
"29" 29 3714 787 107
"30" 30 2919 762 384
"31" 31 2769 942 270
"32" 32 3112 674 347
"33" 33 2195 803 776
"34" 34 2507 705 251
"35" 35 2625 692 198
"36" 36 2558 1000 223
"37" 37 2246 586 142
"38" 38 2388 702 230
"39" 39 2758 624 228
"40" 40 2759 816 303
"41" 41 2427 707 389
"42" 42 2384 944 440
"43" 43 2410 1028 275
"44" 44 2738 821 544
"45" 45 3151 1031 282
"46" 46 4160 974 637
"47" 47 4860 1088 351
"48" 48 7172 1476 511
"49" 49 7914 1130 411
"50" 50 8151 1326 493
"51" 51 10586 1651 500
"52" 52 6923 800 304
"53" 53 12224 1263 767
"54" 54 16432 2063 806
"55" 55 18892 3110 1681
"56" 56 27209 3384 1435
"57" 57 28754 4276 1179
"58" 58 27668 3837 1417
"59" 59 27775 3645 1179
"60" 60 29530 4142 1384
"61" 61 29105 4277 1716
"62" 62 28737 4390 1865
"63" 63 29368 5007 2614
"64" 64 29339 4345 1868
"65" 65 22876 3823 1658
"66" 66 21840 3540 1421
"67" 67 25456 4126 2146
"68" 68 29748 4772 2077
"69" 69 28244 6028 2516
"70" 70 23274 4732 2460
"71" 71 18751 3390 1872
"72" 72 17667 3637 1514
"73" 73 10160 2640 976
"74" 74 8767 2023 933
"75" 75 8607 1874 1049
"76" 76 6389 2298 767
"77" 77 4991 1544 728
"78" 78 3726 1572 623
"79" 79 3165 1097 761
"80" 80 2567 1537 815
"81" 81 2353 1232 1226
"82" 82 2012 1291 1507
"83" 83 1872 1360 714
"84" 84 1593 1126 507
"85" 85 2051 1263 593
"86" 86 1686 1454 490
"87" 87 1875 1669 556
"88" 88 1384 1025 379
"89" 89 2174 1621 604
"90" 90 2256 1356 644
"91" 91 2141 1156 498
"92" 92 2032 1028 405
"93" 93 2577 1177 333
"94" 94 2787 1086 475
"95" 95 3053 1335 710
"96" 96 3176 1404 433
"97" 97 3446 1579 651
"98" 98 3047 1665 649
"99" 99 4276 1231 796
"100" 100 4879 1219 703
"101" 101 4519 1172 635
"102" 102 5010 1010 640
"103" 103 6902 1210 516
"104" 104 4279 728 658
"105" 105 7661 1006 446
"106" 106 9379 1502 749
"107" 107 11577 1799 926
"108" 108 17401 2660 982
"109" 109 21023 2395 1142
"110" 110 22040 2987 1207
"111" 111 22630 3636 1489
"112" 112 26628 3912 1800
"113" 113 28858 4002 3021
"114" 114 30139 4923 2624
"115" 115 28511 4496 3351
"116" 116 28475 4465 3026
"117" 117 29698 4760 2925
"118" 118 30969 5033 2420
"119" 119 28644 5542 2272
"120" 120 25879 4551 2751
"121" 121 24895 3693 3227
